date,cruise_id,station,event_n,scan,salinity,temperature,pressure,sea_water_electrical_conductivity,CDOM,dissolved_oxygen,oxygen_saturation,chlorophyll_concentration,chlorophyll_fluorescence,photosynthetically_available_radiation,beam_attenuation,beam_transmission,depth,sea_water_sigma_t,sound_velocity,altimeter,latitude,longitude
2006-01-18,WS0603,58,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20,25.164,-81.654
2006-01-18,WS0603,59,14,14,13,14,14,13,0,12,12,0,14,14,14,14,14,13,13,14,25.1683333333333,-81.4895
2006-01-18,WS0603,60,10,10,9,10,10,9,0,8,8,0,10,10,10,10,10,9,9,10,25.1661666666667,-81.3348333333333
2006-01-18,WS0603,61,7,7,6,7,7,6,0,5,5,0,7,7,7,7,7,6,6,7,25.1655,-81.2738333333333
2006-01-18,WS0603,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5,25.1638333333333,-81.2358333333333
2006-01-18,WS0603,63,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4,25.1656666666667,-81.199
2006-01-18,WS0603,64,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,25.1651666666667,-81.1568333333333
2006-01-18,WS0603,65,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,25.0983333333333,-81.0965
2006-01-18,WS0603,66,3,3,2,3,3,2,0,1,1,0,3,3,3,3,3,2,2,3,25.0673333333333,-81.1093333333333
2006-01-18,WS0603,67,5,5,4,5,5,4,0,3,3,0,5,5,5,5,5,4,4,5,25.0291666666667,-81.1271666666667
2006-01-18,WS0603,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,24.927,-81.1673333333333
2006-01-18,WS0603,69,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4,24.9296666666667,-81.0948333333333
2006-01-18,WS0603,70,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,24.9308333333333,-81.025
2006-01-18,WS0603,71,2,2,2,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2,24.9295,-80.9638333333333
2006-01-19,WS0603,39,3,3,2,3,3,2,0,2,2,0,3,0,3,3,3,2,2,3,25.7836666666667,-81.4821666666667
2006-01-19,WS0603,40,6,6,5,6,6,5,0,5,5,0,6,3,6,6,6,5,5,6,25.759,-81.524
2006-01-19,WS0603,41,8,8,8,8,8,8,0,7,7,0,8,5,8,8,8,8,8,8,25.7331666666667,-81.5756666666667
2006-01-19,WS0603,44,16,16,16,16,16,16,0,15,15,0,16,1,16,16,16,16,16,16,25.5828333333333,-81.6646666666667
2006-01-19,WS0603,45,9,9,9,9,9,9,0,8,8,0,9,0,9,9,9,9,9,9,25.5835,-81.47
2006-01-19,WS0603,46,9,9,9,9,9,9,0,8,8,0,9,2,9,9,9,9,9,9,25.5828333333333,-81.408
2006-01-19,WS0603,47,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6,25.5831666666667,-81.3665
2006-01-19,WS0603,48,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,25.5846666666667,-81.33
2006-01-19,WS0603,49,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,25.5823333333333,-81.2915
2006-01-19,WS0603,50,7,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,25.4518333333333,-81.3511666666667
2006-01-19,WS0603,51,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6,25.453,-81.3085
2006-01-19,WS0603,52,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,25.4533333333333,-81.2596666666667
2006-01-19,WS0603,53,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,25.4516666666667,-81.2251666666667
2006-01-19,WS0603,54,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5,25.3436666666667,-81.1543333333333
2006-01-19,WS0603,55,4,4,3,4,4,3,0,2,2,0,4,4,4,4,4,3,3,4,25.3495,-81.1983333333333
2006-01-19,WS0603,56,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4,25.3493333333333,-81.228
2006-01-19,WS0603,57,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5,25.3498333333333,-81.265
2006-01-20,WS0603,42,15,15,15,15,15,15,0,14,14,0,15,10,15,15,15,15,15,15,25.6555,-81.7201666666667
2006-01-20,WS0603,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,26.4271666666667,-81.9605
2006-01-20,WS0603,CAL2,12,12,12,12,12,12,0,12,12,0,12,12,12,12,12,12,12,12,26.3835,-82.0
2006-01-20,WS0603,CAL3,16,16,16,16,16,16,0,16,16,0,16,16,16,16,16,16,16,16,26.3421666666667,-82.0435
2006-01-20,WS0603,CAL4,24,24,24,24,24,24,0,23,23,0,24,24,24,24,24,24,24,24,26.2583333333333,-82.1331666666667
2006-01-20,WS0603,CAL5,34,34,34,34,34,34,0,34,34,0,34,34,34,34,34,34,34,34,26.1831666666667,-82.2166666666667
2006-01-20,WS0603,CH1,15,15,15,15,15,15,0,14,14,0,15,14,15,15,15,15,15,15,26.7168333333333,-82.2496666666667
2006-01-20,WS0603,CH2,18,18,18,18,18,18,0,18,18,0,18,15,18,18,18,18,18,18,26.6615,-82.3303333333333
2006-01-20,WS0603,CH3,32,32,32,32,32,32,0,32,32,0,32,0,32,32,32,32,32,32,26.5536666666667,-82.4666666666667
2006-01-20,WS0603,CH4,49,49,49,49,49,49,0,48,48,0,49,45,49,49,49,49,49,49,26.4706666666667,-82.6181666666667
2006-01-20,WS0603,CH5,55,55,54,55,55,54,0,54,54,0,55,0,55,55,55,54,54,55,26.383,-82.7678333333333
2006-01-21,WS0603,29,63,63,63,63,63,63,0,62,62,0,63,0,63,63,63,63,63,63,25.0626666666667,-82.4791666666667
2006-01-21,WS0603,29.5,55,55,54,55,55,54,0,54,54,0,55,0,55,55,55,54,54,55,25.2261666666667,-82.3501666666667
2006-01-21,WS0603,30,48,48,48,48,48,48,0,48,48,0,48,0,48,48,48,48,48,48,25.4015,-82.2095
2006-01-21,WS0603,31,27,27,27,27,27,27,0,27,27,0,27,0,27,27,27,27,27,27,25.7416666666667,-81.9431666666667
2006-01-21,WS0603,32,18,18,18,18,18,18,0,18,18,0,18,0,18,18,18,18,18,18,25.8731666666667,-81.8341666666667
2006-01-21,WS0603,33,15,15,15,15,15,15,0,15,15,0,15,0,15,15,15,15,15,15,25.911,-81.8003333333333
2006-01-21,WS0603,34,9,9,8,9,9,8,0,8,8,0,9,9,9,9,9,8,8,9,25.9488333333333,-81.7685
2006-01-22,WS0603,28,49,49,49,49,49,49,0,48,48,0,49,0,49,49,49,49,49,49,24.7275,-82.7503333333333
2006-01-22,WS0603,28.5,62,62,62,62,62,62,0,62,62,0,62,0,62,62,62,62,62,62,24.9005,-82.6176666666667
2006-01-22,WS0603,DT1,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20,24.6916666666667,-82.9176666666667
2006-01-22,WS0603,DT10,43,43,42,43,43,42,0,41,41,0,43,0,43,43,43,42,42,43,24.5491666666667,-82.9726666666667
2006-01-22,WS0603,DT11,38,38,38,38,38,38,0,37,37,0,38,0,38,38,38,38,38,38,24.6185,-82.9113333333333
2006-01-22,WS0603,DT2,38,38,37,38,38,37,0,36,36,0,38,38,38,38,38,37,37,38,24.692,-83.0503333333333
2006-01-22,WS0603,DT3,111,111,111,111,111,111,0,109,109,0,111,111,111,111,111,111,111,111,24.691,-83.186
2006-01-22,WS0603,DT4,123,123,123,123,123,123,0,120,120,0,123,123,123,123,123,123,123,123,24.6936666666667,-83.3145
2006-01-22,WS0603,DT5,128,128,128,128,128,128,0,125,125,0,128,128,128,128,128,128,128,128,24.5608333333333,-83.3051666666667
2006-01-22,WS0603,DT6,295,295,294,295,295,294,0,290,290,0,295,295,295,295,295,294,294,295,24.4321666666667,-83.2325
2006-01-22,WS0603,DT7,1143,1143,1143,1143,1143,1143,0,1139,1139,0,1143,1143,1143,1143,1143,1143,1143,1143,24.298,-83.1908333333333
2006-01-22,WS0603,DT8,382,382,382,382,382,382,0,378,378,0,382,4,382,382,382,382,382,382,24.3818333333333,-83.1136666666667
2006-01-22,WS0603,DT9,97,97,97,97,97,97,0,95,95,0,97,0,97,97,97,97,97,97,24.4678333333333,-83.0436666666667
2006-01-23,WS0603,22,56,56,56,56,56,56,0,54,54,0,56,56,56,56,56,56,56,56,24.4553333333333,-81.8286666666667
2006-01-23,WS0603,22.5,281,281,280,281,281,280,0,279,279,0,281,281,281,281,281,280,280,281,24.3966666666667,-81.8291666666667
2006-01-23,WS0603,23,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20,24.487,-81.8291666666667
2006-01-23,WS0603,24,14,14,14,14,14,14,0,12,12,0,14,14,14,14,14,14,14,14,24.5365,-81.8288333333333
2006-01-23,WS0603,25,104,104,104,104,104,104,0,99,99,0,104,104,104,104,104,104,104,104,24.3931666666667,-82.7683333333333
2006-01-23,WS0603,25.5,626,626,625,626,626,625,0,622,622,0,626,626,626,626,626,625,625,626,24.2868333333333,-82.7656666666667
2006-01-23,WS0603,26,39,39,38,39,39,38,0,37,37,0,39,39,39,39,39,38,38,39,24.4938333333333,-82.7708333333333
2006-01-23,WS0603,27,55,55,55,55,55,55,0,54,54,0,55,55,55,55,55,55,55,55,24.5898333333333,-82.7693333333333
2006-01-24,WS0603,13,8,8,8,8,8,8,0,7,7,0,8,8,8,8,8,8,8,8,24.7008333333333,-81.0286666666667
2006-01-24,WS0603,14,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20,24.6746666666667,-81.0231666666667
2006-01-24,WS0603,15,65,65,64,65,65,64,0,63,63,0,65,65,65,65,65,64,64,65,24.6415,-81.0168333333333
2006-01-24,WS0603,15.5,242,242,242,242,242,242,0,242,242,0,242,242,242,242,242,242,242,242,24.5925,-80.9916666666667
2006-01-24,WS0603,16,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5,24.6746666666667,-81.2041666666667
2006-01-24,WS0603,17,18,18,18,18,18,18,0,17,17,0,18,18,18,18,18,18,18,18,24.6363333333333,-81.1936666666667
2006-01-24,WS0603,18,46,46,46,46,46,46,0,46,46,0,46,46,46,46,46,46,46,46,24.5991666666667,-81.1836666666667
2006-01-24,WS0603,19,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6,24.6095,-81.4215
2006-01-24,WS0603,20,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20,24.5746666666667,-81.4183333333333
2006-01-24,WS0603,21,58,58,58,58,58,58,0,56,56,0,58,58,58,58,58,58,58,58,24.5381666666667,-81.4138333333333
2006-01-24,WS0603,21.5,263,263,262,263,263,262,0,260,260,0,263,263,263,263,263,262,262,263,24.4816666666667,-81.3918333333333
2006-01-25,WS0603,1,12,12,12,12,12,12,0,11,11,0,12,12,12,12,12,12,12,12,25.6441666666667,-80.1271666666667
2006-01-25,WS0603,10,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5,24.7868333333333,-80.8596666666667
2006-01-25,WS0603,11,11,11,11,11,11,11,0,10,10,0,11,11,11,11,11,11,11,11,24.7536666666667,-80.8463333333333
2006-01-25,WS0603,12,64,64,63,64,64,63,0,63,63,0,64,64,64,64,64,63,63,64,24.7138333333333,-80.8308333333333
2006-01-25,WS0603,2,8,8,8,8,8,8,0,7,7,0,8,8,8,8,8,8,8,8,25.6416666666667,-80.1051666666667
2006-01-25,WS0603,3,86,86,86,86,86,86,0,84,84,0,86,86,86,86,86,86,86,86,25.645,-80.084
2006-01-25,WS0603,4,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5,25.1083333333333,-80.38
2006-01-25,WS0603,5,11,11,10,11,11,10,0,10,10,0,11,11,11,11,11,10,10,11,25.0931666666667,-80.3548333333333
2006-01-25,WS0603,5.5,6,6,5,6,6,5,0,5,5,0,6,6,6,6,6,5,5,6,25.0773333333333,-80.3336666666667
2006-01-25,WS0603,6,71,71,71,71,71,71,0,71,71,0,71,71,71,71,71,71,71,71,25.065,-80.3148333333333
2006-01-25,WS0603,6.5,144,144,144,144,144,144,0,143,143,0,144,144,144,144,144,144,144,144,25.049,-80.2868333333333
2006-01-25,WS0603,7,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3,24.819,-80.7561666666667
2006-01-25,WS0603,8,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,24.7916666666667,-80.7408333333333
2006-01-25,WS0603,9,63,63,62,63,63,62,0,62,62,0,63,63,63,63,63,62,62,63,24.7631666666667,-80.7226666666667
2006-01-25,WS0603,9.5,241,241,240,241,241,240,0,240,240,0,241,241,241,241,241,240,240,241,24.7163333333333,-80.6893333333333
2006-05-02,WS0612,1,13,13,13,13,13,13,0,12,12,0,13,13,13,13,13,13,13,13,25.6433333333333,-80.1271666666667
2006-05-02,WS0612,2,12,12,12,12,12,12,0,10,10,0,12,12,12,12,12,12,12,12,25.6403333333333,-80.105
2006-05-02,WS0612,3,90,90,90,90,90,90,0,88,88,0,90,90,90,90,90,90,90,90,25.6428333333333,-80.0835
2006-05-02,WS0612,4,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,25.1075,-80.3801666666667
2006-05-02,WS0612,5,12,12,11,12,12,11,0,9,9,0,12,12,12,12,12,11,11,12,25.093,-80.3551666666667
2006-05-02,WS0612,5.5,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3,25.0798333333333,-80.335
2006-05-02,WS0612,6,25,25,24,25,25,24,0,24,24,0,25,25,25,25,25,24,24,25,25.0665,-80.3191666666667
2006-05-02,WS0612,6.5,142,142,142,142,142,142,0,141,141,0,142,142,142,142,142,142,142,142,25.0475,-80.289
2006-05-02,WS0612,7,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4,24.8183333333333,-80.7561666666667
2006-05-03,WS0612,10,7,7,6,7,7,6,0,6,6,0,7,7,7,7,7,6,6,7,24.7878333333333,-80.861
2006-05-03,WS0612,11,10,10,9,10,10,9,0,9,9,0,10,10,10,10,10,9,9,10,24.7531666666667,-80.8473333333333
2006-05-03,WS0612,12,62,62,62,62,62,62,0,61,61,0,62,62,62,62,62,62,62,62,24.7123333333333,-80.8333333333333
2006-05-03,WS0612,13,6,6,6,6,6,6,0,4,4,0,6,6,6,6,6,6,6,6,24.7015,-81.0301666666667
2006-05-03,WS0612,14,17,17,17,17,17,17,0,16,16,0,17,17,17,17,17,17,17,17,24.6745,-81.0236666666667
2006-05-03,WS0612,15,65,65,64,65,65,64,0,64,64,0,65,65,65,65,65,64,64,65,24.6423333333333,-81.0166666666667
2006-05-03,WS0612,15.5,259,259,259,259,259,259,0,258,258,0,259,259,259,259,259,259,259,259,24.5913333333333,-80.992
2006-05-03,WS0612,16,9,9,8,9,9,8,0,7,7,0,9,9,9,9,9,8,8,9,24.6706666666667,-81.2043333333333
2006-05-03,WS0612,17,19,19,19,19,19,19,0,18,18,0,19,19,19,19,19,19,19,19,24.6345,-81.194
2006-05-03,WS0612,18,56,56,56,56,56,56,0,55,55,0,56,56,56,56,56,56,56,56,24.5978333333333,-81.1843333333333
2006-05-03,WS0612,19,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,24.61,-81.4215
2006-05-03,WS0612,20,21,21,21,21,21,21,0,21,21,0,21,21,21,21,21,21,21,21,24.5751666666667,-81.4191666666667
2006-05-03,WS0612,21,60,60,60,60,60,60,0,58,58,0,60,60,60,60,60,60,60,60,24.5375,-81.414
2006-05-03,WS0612,21.5,278,278,277,278,278,277,0,277,277,0,278,278,278,278,278,277,277,278,24.4826666666667,-81.3931666666667
2006-05-03,WS0612,23,16,16,16,16,16,16,0,16,16,0,16,16,16,16,16,16,16,16,24.4868333333333,-81.8288333333333
2006-05-03,WS0612,24,12,12,11,12,12,11,0,11,11,0,12,12,12,12,12,11,11,12,24.5361666666667,-81.8278333333333
2006-05-03,WS0612,8,9,9,9,9,9,9,0,8,8,0,9,9,9,9,9,9,9,9,24.7915,-80.7415
2006-05-03,WS0612,9,62,62,62,62,62,62,0,61,61,0,62,62,62,62,62,62,62,62,24.7628333333333,-80.7233333333333
2006-05-03,WS0612,9.5,246,246,246,246,246,246,0,246,246,0,246,246,246,246,246,246,246,246,24.7156666666667,-80.691
2006-05-04,WS0612,22,58,58,58,58,58,58,0,57,57,0,58,58,58,58,58,58,58,58,24.4548333333333,-81.829
2006-05-04,WS0612,22.5,281,281,280,281,281,280,0,279,279,0,281,281,281,281,281,280,280,281,24.3965,-81.8316666666667
2006-05-04,WS0612,25,104,104,104,104,104,104,0,104,104,0,104,104,104,104,104,104,104,104,24.3938333333333,-82.768
2006-05-04,WS0612,25.5,665,665,665,665,665,665,0,663,663,0,665,665,665,665,665,665,665,665,24.2885,-82.7695
2006-05-04,WS0612,26,38,38,38,38,38,38,0,37,37,0,38,38,38,38,38,38,38,38,24.4943333333333,-82.7696666666667
2006-05-04,WS0612,27,53,53,52,53,53,52,0,50,50,0,53,53,53,53,53,52,52,53,24.5903333333333,-82.7686666666667
2006-05-05,WS0612,DT01,21,21,21,21,21,21,0,21,21,0,21,21,21,21,21,21,21,21,24.6913333333333,-82.9158333333333
2006-05-05,WS0612,DT02,38,38,38,38,38,38,0,37,37,0,38,38,38,38,38,38,38,38,24.6916666666667,-83.0498333333333
2006-05-05,WS0612,DT03,113,113,113,113,113,113,0,112,112,0,113,113,113,113,113,113,113,113,24.693,-83.1826666666667
2006-05-05,WS0612,DT04,124,124,124,124,124,124,0,124,124,0,124,124,124,124,124,124,124,124,24.6926666666667,-83.3095
2006-05-05,WS0612,DT05,126,126,126,126,126,126,0,126,126,0,126,126,126,126,126,126,126,126,24.5671666666667,-83.2666666666667
2006-05-05,WS0612,DT06,317,317,317,317,317,317,0,316,316,0,317,317,317,317,317,317,317,317,24.4338333333333,-83.2338333333333
2006-05-05,WS0612,DT07,1171,1171,1170,1171,1171,1170,0,1168,1168,0,1171,1171,1171,1171,1171,1170,1170,1171,24.2998333333333,-83.1903333333333
2006-05-05,WS0612,DT08,373,373,373,373,373,373,0,373,373,0,373,373,373,373,373,373,373,373,24.383,-83.115
2006-05-05,WS0612,DT09,99,99,99,99,99,99,0,99,99,0,99,99,99,99,99,99,99,99,24.468,-83.0433333333333
2006-05-05,WS0612,DT10,45,45,44,45,45,44,0,44,44,0,45,45,45,45,45,44,44,45,24.5523333333333,-82.9711666666667
2006-05-05,WS0612,DT11,40,40,40,40,40,40,0,38,38,0,40,40,40,40,40,40,40,40,24.62,-82.9096666666667
2006-05-05,WS0612,DTXX,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,24.692,-82.9161666666667
2006-05-06,WS0612,28,55,55,55,55,55,55,0,53,53,0,55,55,55,55,55,55,55,55,24.7281666666667,-82.7473333333333
2006-05-06,WS0612,28.5,61,61,61,61,61,61,0,61,61,0,61,61,61,61,61,61,61,61,24.9011666666667,-82.6165
2006-05-06,WS0612,29,61,61,61,61,61,61,0,61,61,0,61,61,61,61,61,61,61,61,25.0631666666667,-82.478
2006-05-06,WS0612,29.5,56,56,56,56,56,56,0,56,56,0,56,56,56,56,56,56,56,56,25.2275,-82.3496666666667
2006-05-06,WS0612,30,45,45,45,45,45,45,0,44,44,0,45,45,45,45,45,45,45,45,25.4015,-82.2085
2006-05-06,WS0612,30.5,37,37,37,37,37,37,0,37,37,0,37,37,37,37,37,37,37,37,25.5716666666667,-82.0753333333333
2006-05-06,WS0612,31,28,28,28,28,28,28,0,27,27,0,28,28,28,28,28,28,28,28,25.7418333333333,-81.9431666666667
2006-05-06,WS0612,32,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20,25.8731666666667,-81.8336666666667
2006-05-06,WS0612,33,14,14,14,14,14,14,0,13,13,0,14,14,14,14,14,14,14,14,25.9116666666667,-81.7996666666667
2006-05-06,WS0612,34,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6,25.9495,-81.7673333333333
2006-05-07,WS0612,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,26.426,-81.9598333333333
2006-05-07,WS0612,CAL2,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,26.383,-82.0
2006-05-07,WS0612,CAL3,14,14,13,14,14,13,0,13,13,0,14,14,14,14,14,13,13,14,26.3415,-82.0426666666667
2006-05-07,WS0612,CAL4,22,22,22,22,22,22,0,21,21,0,22,22,22,22,22,22,22,22,26.2585,-82.134
2006-05-07,WS0612,CAL5,32,32,32,32,32,32,0,32,32,0,32,32,32,32,32,32,32,32,26.1831666666667,-82.2171666666667
2006-05-07,WS0612,CH1,18,18,18,18,18,18,0,18,18,0,18,18,18,18,18,18,18,18,26.7186666666667,-82.2493333333333
2006-05-07,WS0612,CH2,16,16,16,16,16,16,0,15,15,0,16,16,16,16,16,16,16,16,26.662,-82.3303333333333
2006-05-07,WS0612,CH3,30,30,30,30,30,30,0,29,29,0,30,30,30,30,30,30,30,30,26.5551666666667,-82.4665
2006-05-07,WS0612,CH4,43,43,43,43,43,43,0,43,43,0,43,43,43,43,43,43,43,43,26.4715,-82.6163333333333
2006-05-07,WS0612,CH5,53,53,53,53,53,53,0,53,53,0,53,53,53,53,53,53,53,53,26.3838333333333,-82.769
2006-05-08,WS0612,39,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,25.7833333333333,-81.4816666666667
2006-05-08,WS0612,40,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6,25.7611666666667,-81.5228333333333
2006-05-08,WS0612,41,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,25.7348333333333,-81.5745
2006-05-08,WS0612,42,14,14,14,14,14,14,0,12,12,0,14,14,14,14,14,14,14,14,25.6555,-81.7181666666667
2006-05-08,WS0612,45,10,10,10,10,10,10,0,9,9,0,10,10,10,10,10,10,10,10,25.5835,-81.4711666666667
2006-05-08,WS0612,46,9,9,9,9,9,9,0,9,9,0,9,9,9,9,9,9,9,9,25.5835,-81.4083333333333
2006-05-08,WS0612,47,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,25.5835,-81.366
2006-05-08,WS0612,48,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6,25.583,-81.3303333333333
2006-05-08,WS0612,49,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,25.5833333333333,-81.292
2006-05-08,WS0612,50,9,9,9,9,9,9,0,8,8,0,9,9,9,9,9,9,9,9,25.4536666666667,-81.3505
2006-05-08,WS0612,51,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,25.4543333333333,-81.3085
2006-05-08,WS0612,52,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3,25.4533333333333,-81.2596666666667
2006-05-08,WS0612,53,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,25.4535,-81.2258333333333
2006-05-08,WS0612,54,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,25.3446666666667,-81.1528333333333
2006-05-08,WS0612,55,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,25.3505,-81.1988333333333
2006-05-08,WS0612,56,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3,25.3501666666667,-81.2273333333333
2006-05-08,WS0612,57,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5,25.3513333333333,-81.2655
2006-05-09,WS0612,60,9,9,9,9,9,9,0,7,7,0,9,9,9,9,9,9,9,9,25.1675,-81.3355
2006-05-09,WS0612,61,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,25.1695,-81.2731666666667
2006-05-09,WS0612,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5,25.1665,-81.2346666666667
2006-05-09,WS0612,63,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4,25.1663333333333,-81.1998333333333
2006-05-09,WS0612,65,6,6,6,6,6,6,0,4,4,0,6,6,6,6,6,6,6,6,25.1006666666667,-81.093
2006-05-09,WS0612,66,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5,25.068,-81.1075
2006-05-09,WS0612,67,5,5,5,5,5,5,0,3,3,0,5,5,5,5,5,5,5,5,25.03,-81.126
2006-05-09,WS0612,68,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7,24.929,-81.1656666666667
2006-05-09,WS0612,69,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6,24.929,-81.0938333333333
2006-05-09,WS0612,70,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,24.9295,-81.0241666666667
2006-05-09,WS0612,71,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,24.9301666666667,-80.9623333333333
2006-08-05,WS0618,60,10,10,10,10,10,10,0,9,9,0,10,10,10,10,10,10,10,10,25.1623333333333,-81.3385
2006-08-05,WS0618,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,24.9298333333333,-81.1683333333333
2006-08-06,WS0618,56,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,25.3503333333333,-81.2288333333333
2006-08-06,WS0618,58,35,35,35,35,35,35,0,1,1,0,34,35,35,35,35,35,35,34,25.1665,-81.6566666666667
2006-08-07,WS0618,39,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,25.7708333333333,-81.4986666666667
2006-08-07,WS0618,44,13,13,13,13,13,13,0,13,13,0,13,13,13,13,13,13,13,13,25.5848333333333,-81.668
2006-08-07,WS0618,49,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,25.5838333333333,-81.2938333333333
2006-08-07,WS0618,50,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,25.4533333333333,-81.35
2006-08-07,WS0618,53,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,25.4531666666667,-81.2243333333333
2006-08-07,WS0618,54,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,25.3455,-81.1523333333333
2006-08-08,WS0618,CH2,21,21,21,21,21,21,0,20,20,0,21,21,21,21,21,21,21,21,26.6608333333333,-82.3313333333333
2006-08-08,WS0618,CH5,54,54,54,54,54,54,0,53,53,0,54,54,54,54,54,54,54,54,26.3821666666667,-82.7673333333333
2006-08-08,WS0618,CH5A,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,26.3823333333333,-82.7686666666667
2006-08-09,WS0618,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,26.4273333333333,-81.9606666666667
2006-08-09,WS0618,CAL5,30,30,30,30,30,30,0,29,29,0,30,30,30,30,30,30,30,30,26.1848333333333,-82.2161666666667
2006-08-10,WS0618,29,63,63,63,63,63,63,0,63,63,0,63,63,63,63,63,63,63,63,25.0628333333333,-82.4791666666667
2006-08-10,WS0618,30,48,48,48,48,48,48,0,48,48,0,48,48,48,48,48,48,48,48,25.4008333333333,-82.2103333333333
2006-08-10,WS0618,31,27,27,26,27,27,26,0,26,26,0,27,27,27,27,27,26,26,27,25.7358333333333,-81.939
2006-08-10,WS0618,32,19,19,19,19,19,19,0,18,18,0,19,19,19,19,19,19,19,19,25.8721666666667,-81.8326666666667
2006-08-10,WS0618,33,13,13,12,13,13,12,0,12,12,0,13,13,13,13,13,12,12,13,25.9106666666667,-81.8001666666667
